id,conflict_new_id,conflict_name,dyad_name,side_a,side_b,source_article,source_office,source_date,source_headline,source_original,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,high
237079,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""BBC Monitoring Middle East,2017-03-26,Algerian army kills commander of IS-affiliated group, says paper""",BBC Monitoring Middle East,26/03/2017,"Algerian army kills commander of IS-affiliated group, says paper",local Algerian newspaper,Constantine town,36.365,6.614722,Algeria,Africa,25/03/2017,25/03/2017,0,2,0,0,2
241336,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""CrisisWatch ,2017-03-31,Algeria  MARCH 2017""",CrisisWatch ,31/03/2017,Algeria  MARCH 2017,,Constantine province,36.333333,6.666667,Algeria,Africa,25/03/2017,25/03/2017,0,2,0,0,2
237493,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""Reuters News,2017-04-20,Algerian army foils suicide attack in northeastern city: source"";""Reuters News,2017-04-20,Algerian army foils suicide attack in northeastern city - source"";""Critical Threats,2016-06-02,AQIM and ISIS in Algeria: Competing Campaigns""",Reuters News;Reuters News;Critical Threats,2017-04-20;2017-04-20;2016-06-02,Algerian army foils suicide attack in northeastern city: source;Algerian army foils suicide attack in northeastern city - source;AQIM and ISIS in Algeria: Competing Campaigns,security source,Constantine town,36.365,6.614722,Algeria,Africa,20/04/2017,20/04/2017,0,1,0,0,1
241244,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Afriva Research Bulletin Volume 54 Issue 5,2017-06-14,In Brief - Algeria"";""ICG,2017-05-31,Algeria  MAY 2017""",Afriva Research Bulletin Volume 54 Issue 5;ICG,2017-06-14;2017-05-31,In Brief - Algeria;Algeria  MAY 2017,,T̩bessa province,35,7.833333,Algeria,Africa,30/04/2017,02/05/2017,0,0,0,0,2
241242,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Africa Research Bulletin Volume 54 Issue 5,2017-06-14,In Brief - Algeria"";""ICG,2017-05-31,Algeria  MAY 2017""",Africa Research Bulletin Volume 54 Issue 5;ICG,2017-06-14;2017-05-31,In Brief - Algeria;Algeria  MAY 2017,,Ain Defla province,36.166667,2.166667,Algeria,Africa,08/05/2017,08/05/2017,3,0,0,0,3
241313,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""ICG,2017-05-31,Algeria  MAY 2017""",ICG,31/05/2017,Algeria  MAY 2017,,Jijel province,36.75,6,Algeria,Africa,10/05/2017,10/05/2017,0,1,0,0,1
241314,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""ICG,2017-05-31,Algeria  MAY 2017""",ICG,31/05/2017,Algeria  MAY 2017,,Jijel province,36.75,6,Algeria,Africa,12/05/2017,13/05/2017,0,6,0,0,6
238805,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Agence France Presse,2017-06-02,Algeria army kills two suspected Islamists""",Agence France Presse,02/06/2017,Algeria army kills two suspected Islamists,the defence ministry,Bougara town,36.541779,3.080998,Algeria,Africa,02/06/2017,02/06/2017,0,2,0,0,2
238819,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""Agence France Presse,2017-06-03,Homemade bomb kills 2 Algeria soldiers: security"";""CrisisWatch ,2017-06-30,Algeria June 2017""",Agence France Presse;CrisisWatch ,2017-06-03;2017-06-30,Homemade bomb kills 2 Algeria soldiers: security;Algeria June 2017,a security source,Bir el-Ater town,34.744877,8.060239,Algeria,Africa,03/06/2017,03/06/2017,2,0,0,0,2
238858,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""Agence France Presse,2017-06-17,Algeria army kills three Islamists"";""Critical Threats,2016-06-02,AQIM and ISIS in Algeria: Competing Campaigns""",Agence France Presse;Critical Threats,2017-06-17;2016-06-02,Algeria army kills three Islamists;AQIM and ISIS in Algeria: Competing Campaigns,defence ministry ,Algeria,28,3,Algeria,Africa,11/06/2017,17/06/2017,0,3,0,0,3
238860,386,Algeria:Government,Government of Algeria - AQIM,Government of Algeria,AQIM,"""BBC Monitoring Africa,2017-06-22,Al-Qaeda claims targeting army convoy in northeast Algeria""",BBC Monitoring Africa,22/06/2017,Al-Qaeda claims targeting army convoy in northeast Algeria,AQIM (GSPC),Road between Seiar and Chechar,34.943,7.04,Algeria,Africa,17/06/2017,17/06/2017,2,0,0,0,4
239427,13721,Algeria: Islamic State,Government of Algeria - IS,Government of Algeria,IS,"""Agence France Presse,2017-07-31,Algerian army kills six armed Islamists: ministry"";""Reuters News,2017-07-31,Algerian army kills six armed militants: defense ministry"";""Reuters News,2017-07-31,Algerian army kills six armed militants-defence ministry""",Agence France Presse;Reuters News;Reuters News,2017-07-31;2017-07-31;2017-07-31,Algerian army kills six armed Islamists: ministry;Algerian army kills six armed militants: defense ministry;Algerian army kills six armed militants-defence ministry,defence ministry,Gouraya town,36.570556,1.9025,Algeria,Africa,25/07/2017,31/07/2017,0,2,0,0,2
